"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Adryh","Giants Gaming","ADC",14,"14%",,27,36,48,2.1,"76.5%","27.6%","17.9%","14%",-312,-113,-9.9,7.8,"27.0%",490,"29.1%",225,"23.5%",0.47,0.23
"Airwaks","Team ROCCAT","Jungle",18,"22%",,33,60,84,2,"72.2%","20.4%","25.4%","50%",133,-46,2.7,4.3,"14.2%",295,"18.3%",202,"18.8%",0.96,0.47
"Amazing","Origen","Jungle",18,"61%",,36,41,102,3.4,"65.1%","17.0%","20.4%","33%",-79,-137,1.8,4,"12.6%",303,"15.2%",210,"17.9%",0.87,0.49
"Atom","Giants Gaming","Top",14,"14%",,23,48,46,1.4,"70.4%","23.5%","23.9%","21%",-147,-208,-5.7,6.8,"25.5%",287,"17.9%",200,"21.0%",0.49,0.13
"betongJocke","Giants Gaming","Jungle",10,"20%",,9,39,40,1.3,"73.1%","13.4%","26.7%","30%",1,207,1.4,4.1,"14.5%",282,"17.3%",184,"19.2%",0.91,0.57
"Betsy","Team ROCCAT","Middle",18,"22%",,56,40,62,3,"72.8%","34.6%","16.9%","39%",225,237,6.9,8.8,"27.6%",500,"30.9%",268,"25.2%",0.49,0.19
"Cabochard","Team Vitality","Top",18,"72%",,57,29,108,5.7,"74.7%","25.8%","19.2%","39%",230,355,7.8,7.5,"25.0%",455,"22.6%",258,"21.4%",0.53,0.13
"Chres","Splyce","Middle",18,"28%",,34,37,71,2.8,"78.9%","25.6%","18.7%","17%",-239,23,-6.4,8.1,"25.2%",473,"30.8%",235,"23.1%",0.47,0.19
"Diamondprox","Unicorns Of Love","Jungle",4,"75%",,10,8,18,3.5,"56.0%","20.0%","19.0%","100%",502,152,4.8,4.3,"15.7%",366,"18.2%",231,"20.4%",0.85,0.51
"Djoko","Unicorns Of Love","Jungle",2,"50%",,1,6,22,3.8,"74.2%","3.2%","25.0%","100%",1,-2,1,4.6,"15.4%",287,"14.9%",233,"18.4%",1.17,0.49
"Edward","Team ROCCAT","Support",4,"25%",,3,10,15,1.8,"52.9%","8.8%","19.6%","25%",40,191,1.8,1.3,"5.2%",51,"3.4%",118,"11.5%",1.23,0.41
"Eika","Elements","Middle",18,"33%",,33,52,66,1.9,"61.9%","20.6%","23.5%","28%",-231,-248,-5.8,8.3,"27.2%",493,"28.5%",240,"23.1%",0.61,0.17
"Emperor","G2 Esports","ADC",18,"83%",,82,40,113,4.9,"70.1%","29.5%","22.9%","22%",146,-69,0.8,8.6,"29.3%",564,"26.9%",307,"24.2%",0.43,0.2
"extinkt","Team ROCCAT","Support",8,"13%",,3,24,51,2.3,"76.1%","4.2%","21.8%","38%",100,-9,0.8,0.9,"3.5%",102,"7.0%",115,"10.7%",1,0.36
"FEBIVEN","Fnatic","Middle",18,"50%",,58,33,90,4.5,"74.0%","29.0%","16.5%","17%",40,-44,-0.3,8.8,"27.4%",488,"28.3%",271,"24.5%",0.52,0.16
"FORG1VEN","H2k-Gaming","ADC",18,"78%",,66,23,100,7.2,"67.2%","26.7%","15.5%","17%",178,309,11.2,9.3,"31.0%",624,"31.7%",297,"24.8%",0.49,0.29
"Fox","Unicorns Of Love","Middle",18,"56%",,65,40,101,4.2,"67.2%","26.3%","19.7%","44%",-62,-251,-5.1,8.2,"25.9%",544,"27.6%",267,"23.0%",0.37,0.13
"fredy122","Team ROCCAT","Top",18,"22%",,22,49,79,2.1,"62.3%","13.6%","20.8%","22%",44,221,4.5,7.8,"26.9%",302,"18.0%",228,"21.3%",0.51,0.12
"G0DFRED","Giants Gaming","Support",16,"13%",,2,36,70,2,"71.3%","2.0%","15.9%","19%",-46,-120,-1.4,0.7,"2.9%",89,"6.1%",99,"10.3%",1.02,0.2
"Gamsu","Fnatic","Top",18,"50%",,42,44,99,3.2,"70.5%","21.0%","22.0%","6%",-53,72,-4.6,6.9,"23.2%",328,"18.6%",225,"20.2%",0.44,0.16
"Gilius","Elements","Jungle",18,"33%",,17,50,84,2,"63.1%","10.6%","22.6%","28%",-79,91,-1.3,3.5,"10.8%",253,"14.1%",181,"17.3%",0.75,0.56
"Hjarnan","Team Vitality","ADC",18,"72%",,69,25,90,6.4,"71.9%","31.2%","16.6%","33%",57,71,2.8,9.1,"30.2%",628,"30.5%",299,"24.8%",0.38,0.26
"Hustlin","Giants Gaming","Support",2,"50%",,0,5,13,2.6,"81.3%","0.0%","21.7%","50%",-77,-33,0,1.4,"4.8%",121,"7.5%",123,"10.7%",1.12,0.23
"Hybrid","G2 Esports","Support",18,"83%",,11,25,187,7.9,"71.2%","4.0%","14.3%","28%",88,243,1.8,1.2,"4.6%",135,"6.4%",153,"12.0%",1.23,0.44
"Hylissang","Unicorns Of Love","Support",18,"56%",,10,49,173,3.7,"74.1%","4.0%","24.1%","33%",64,159,1.6,1.3,"4.6%",110,"5.6%",137,"11.6%",1.17,0.35
"Jaeger","Giants Gaming","Top",4,"25%",,4,14,11,1.1,"78.9%","21.1%","29.2%","25%",15,-129,1.8,7,"25.5%",332,"25.2%",198,"21.0%",0.46,0.16
"Jankos","H2k-Gaming","Jungle",18,"78%",,52,32,142,6.1,"78.5%","21.1%","21.6%","67%",100,33,-3.1,3.9,"12.7%",343,"17.3%",223,"18.6%",0.98,0.56
"k0u","Giants Gaming","Jungle",4,"0%",,8,15,13,1.4,"67.7%","25.8%","27.3%","50%",-129,-99,-1.5,3.6,"13.9%",328,"19.9%",173,"19.0%",0.76,0.3
"kaSing","Team Vitality","Support",18,"72%",,12,30,159,5.7,"77.4%","5.4%","19.9%","33%",67,54,-1,1.4,"5.3%",149,"7.5%",154,"12.8%",1.43,0.42
"Kikis","G2 Esports","Top",18,"83%",,49,39,132,4.6,"65.1%","17.6%","22.3%","33%",-97,-156,-6.3,6.5,"21.2%",384,"19.1%",248,"19.6%",0.49,0.15
"Klaj","Fnatic","Support",10,"40%",,2,35,73,2.1,"66.4%","1.8%","27.8%","20%",-21,-235,-0.8,1,"3.5%",83,"4.7%",114,"10.4%",1.42,0.3
"Kobbe","Splyce","ADC",18,"28%",,36,32,62,3.1,"73.7%","27.1%","16.2%","11%",-190,-77,-2.6,8.3,"27.2%",413,"27.0%",238,"23.5%",0.38,0.24
"Kold","Splyce","Jungle",18,"28%",,26,36,67,2.6,"69.9%","19.5%","18.2%","17%",-202,-112,-2.2,3.7,"12.2%",251,"16.5%",178,"17.7%",0.88,0.41
"Loulex","Unicorns Of Love","Jungle",6,"33%",,5,9,50,6.1,"76.4%","6.9%","13.6%","33%",-38,-194,-8.2,3.7,"10.8%",210,"11.8%",194,"17.1%",0.99,0.48
"Mirror","Unicorns Of Love","Jungle",6,"67%",,17,17,49,3.9,"70.2%","18.1%","23.9%","33%",-340,-266,-5.2,3.5,"12.7%",234,"10.9%",209,"18.5%",0.85,0.65
"Mithy","Origen","Support",18,"61%",,9,38,134,3.8,"67.5%","4.2%","18.9%","28%",25,-34,-0.3,1.1,"3.7%",127,"6.5%",134,"11.3%",1.2,0.3
"MrRallez","Elements","ADC",18,"33%",,68,27,46,4.2,"71.3%","42.5%","12.2%","22%",45,-159,-0.5,8.8,"29.3%",574,"32.3%",267,"25.5%",0.33,0.16
"Nisbeth","Splyce","Support",18,"28%",,2,42,101,2.5,"77.4%","1.5%","21.2%","6%",-173,-195,-1.3,1.1,"4.2%",97,"6.1%",111,"10.7%",1.07,0.25
"Noxiak","Fnatic","Support",8,"63%",,5,17,51,3.3,"64.4%","5.7%","23.0%","0%",-43,97,1.9,1.2,"4.2%",83,"5.3%",136,"11.9%",1,0.35
"Noxiak","Team ROCCAT","Support",6,"33%",,5,12,35,3.3,"70.2%","8.8%","16.0%","33%",-37,-207,-0.2,1.4,"5.0%",109,"6.2%",138,"12.0%",1.31,0.37
"nukeduck","Team Vitality","Middle",18,"72%",,56,32,105,5,"72.9%","25.3%","21.2%","22%",179,167,2.6,8.6,"26.9%",556,"26.8%",276,"23.1%",0.48,0.14
"Odoamne","H2k-Gaming","Top",18,"78%",,49,37,123,4.6,"69.6%","19.8%","25.0%","33%",-21,-40,-4.1,7.2,"24.4%",371,"18.0%",249,"20.8%",0.45,0.13
"Pepiinero","Giants Gaming","Middle",18,"17%",,36,41,48,2,"71.8%","30.8%","16.5%","22%",-230,-73,-1.5,8.9,"30.4%",461,"29.3%",252,"25.8%",0.45,0.19
"Perkz","G2 Esports","Middle",18,"83%",,76,37,117,5.2,"69.4%","27.3%","21.1%","22%",179,172,6,9,"30.0%",626,"29.8%",305,"24.0%",0.47,0.16
"PowerOfEvil","Origen","Middle",15,"53%",,46,29,63,3.8,"62.3%","26.3%","17.5%","20%",-2,-77,-1.7,8.4,"26.8%",530,"26.7%",265,"23.3%",0.45,0.14
"promisq","Elements","Support",18,"33%",,4,47,107,2.4,"69.4%","2.5%","21.3%","22%",-103,143,-1.2,0.9,"3.6%",98,"5.5%",115,"10.9%",1.26,0.4
"Rekkles","Fnatic","ADC",18,"50%",,55,32,88,4.5,"71.5%","27.5%","16.0%","11%",-123,-83,-2.8,9.3,"30.9%",565,"30.3%",279,"25.0%",0.42,0.27
"Ryu","H2k-Gaming","Middle",12,"75%",,37,15,69,7.1,"67.5%","23.6%","19.2%","42%",117,53,4.1,8.6,"27.1%",484,"25.8%",275,"22.9%",0.5,0.25
"Safir","Team ROCCAT","ADC",6,"17%",,9,19,24,1.7,"61.1%","16.7%","23.2%","17%",-163,-287,-11.7,7.6,"25.7%",455,"27.4%",230,"22.1%",0.27,0.15
"Selfie","H2k-Gaming","Middle",6,"83%",,28,14,34,4.4,"68.9%","31.1%","20.0%","17%",143,85,4.3,9,"30.2%",719,"30.7%",299,"25.3%",0.52,0.23
"Shook","Team Vitality","Jungle",18,"72%",,27,35,138,4.7,"74.7%","12.2%","23.2%","44%",53,86,0.2,3.9,"12.5%",259,"12.6%",215,"17.9%",0.86,0.46
"sOAZ","Origen","Top",18,"61%",,38,48,77,2.4,"54.2%","17.9%","23.9%","17%",-210,-79,-2.7,7.7,"24.2%",378,"18.3%",248,"20.8%",0.49,0.15
"Sonstar","Giants Gaming","ADC",4,"25%",,8,5,6,2.8,"73.7%","42.1%","10.4%","25%",-93,87,-6.5,8.6,"28.8%",286,"21.3%",242,"25.1%",0.49,0.22
"Spirit","Fnatic","Jungle",18,"50%",,38,39,103,3.6,"70.5%","19.0%","19.5%","17%",-66,-64,1.6,4.5,"14.7%",304,"17.8%",214,"19.1%",0.94,0.56
"Steeelback","Unicorns Of Love","ADC",18,"56%",,88,26,89,6.8,"71.7%","35.6%","12.8%","28%",120,160,1.5,9.3,"31.5%",634,"31.6%",305,"26.0%",0.44,0.22
"Steve","Elements","Top",18,"33%",,38,45,64,2.3,"63.8%","23.8%","20.4%","28%",-14,16,-1.1,7.9,"29.2%",351,"19.6%",243,"23.1%",0.51,0.17
"Tabzz","Team ROCCAT","ADC",12,"25%",,31,22,45,3.5,"70.4%","28.7%","14.3%","42%",-216,-309,-9.3,8.5,"27.5%",433,"26.7%",262,"24.0%",0.39,0.31
"Trick","G2 Esports","Jungle",18,"83%",,60,34,151,6.2,"75.9%","21.6%","19.4%","17%",193,202,3.4,4.4,"14.9%",362,"17.8%",253,"20.2%",1.02,0.31
"Vander","H2k-Gaming","Support",18,"78%",,15,27,177,7.1,"77.7%","6.1%","18.2%","33%",72,-141,0.4,1,"3.8%",112,"5.5%",144,"12.0%",1.3,0.25
"Vizicsacsi","Unicorns Of Love","Top",18,"56%",,51,48,114,3.4,"66.8%","20.6%","23.6%","33%",122,-170,2.6,7,"24.9%",430,"21.9%",242,"21.0%",0.58,0.22
"Wisdom","Giants Gaming","Jungle",4,"25%",,0,10,13,1.3,"68.4%","0.0%","20.8%","0%",-47,-127,-2,3.7,"11.6%",197,"15.3%",167,"18.2%",1.02,0.35
"Wunder","Splyce","Top",18,"28%",,35,51,47,1.6,"61.7%","26.3%","25.8%","11%",109,-27,7.9,8.8,"31.3%",305,"19.6%",259,"25.0%",0.52,0.14
"xPeke","Origen","Middle",3,"100%",,13,8,12,3.1,"67.6%","35.1%","22.9%","33%",89,105,5.3,9.2,"26.6%",729,"32.7%",305,"23.6%",0.55,0.26
"Zven","Origen","ADC",18,"61%",,70,37,72,3.8,"67.0%","33.0%","18.4%","17%",227,218,8.7,9.9,"32.7%",658,"32.3%",312,"26.7%",0.41,0.28